  2.000000E-02  -6.322495E+00  -1.684140E+06   1.684127E+06
  4.000000E-02   5.508167E+02  -1.683583E+06   1.684685E+06
  6.000000E-02   1.773854E+03  -1.682360E+06   1.685908E+06
  8.000000E-02   4.371646E+03  -1.679762E+06   1.688505E+06
  1.000000E-01   9.177314E+03  -1.674956E+06   1.693311E+06
  1.200000E-01   1.486031E+04  -1.669273E+06   1.698994E+06
  1.400000E-01   2.311427E+04  -1.661019E+06   1.707248E+06
  1.600000E-01   3.306028E+04  -1.651073E+06   1.717194E+06
  1.800000E-01   4.610999E+04  -1.638024E+06   1.730244E+06
  2.000000E-01   6.144005E+04  -1.622694E+06   1.745574E+06
  2.200000E-01   7.704588E+04  -1.607088E+06   1.761180E+06
  2.400000E-01   9.510693E+04  -1.589027E+06   1.779241E+06
  2.600000E-01   1.154690E+05  -1.568665E+06   1.799603E+06
  2.800000E-01   1.366658E+05  -1.547468E+06   1.820800E+06
  3.000000E-01   1.597452E+05  -1.524389E+06   1.843879E+06
  3.200000E-01   1.829155E+05  -1.501218E+06   1.867049E+06
  3.400000E-01   2.068497E+05  -1.477284E+06   1.890983E+06
  3.600000E-01   2.322360E+05  -1.451898E+06   1.916370E+06
  3.800000E-01   2.572792E+05  -1.426855E+06   1.941413E+06
  4.000000E-01   2.826884E+05  -1.401445E+06   1.966822E+06
  4.200000E-01   3.081378E+05  -1.375996E+06   1.992272E+06
  4.400000E-01   3.332430E+05  -1.350891E+06   2.017377E+06
  4.600000E-01   3.577762E+05  -1.326357E+06   2.041910E+06
  4.800000E-01   3.818601E+05  -1.302274E+06   2.065994E+06
  5.000000E-01   4.071446E+05  -1.276989E+06   2.091278E+06
  5.200000E-01   4.312909E+05  -1.252843E+06   2.115425E+06
  5.400000E-01   4.547033E+05  -1.229430E+06   2.138837E+06
  5.600000E-01   4.778825E+05  -1.206251E+06   2.162016E+06
  5.800000E-01   4.995815E+05  -1.184552E+06   2.183715E+06
  6.000000E-01   5.211984E+05  -1.162935E+06   2.205332E+06
  6.200000E-01   5.426200E+05  -1.141514E+06   2.226754E+06
  6.400000E-01   5.621164E+05  -1.122017E+06   2.246250E+06
  6.600000E-01   5.818930E+05  -1.102241E+06   2.266027E+06
  6.800000E-01   6.013814E+05  -1.082752E+06   2.285515E+06
  7.000000E-01   6.198446E+05  -1.064289E+06   2.303978E+06
  7.200000E-01   6.374998E+05  -1.046634E+06   2.321634E+06
  7.400000E-01   6.538408E+05  -1.030293E+06   2.337975E+06
  7.600000E-01   6.695586E+05  -1.014575E+06   2.353692E+06
  7.800000E-01   6.845100E+05  -9.996237E+05   2.368644E+06
  8.000000E-01   7.004360E+05  -9.836977E+05   2.384570E+06
  8.200000E-01   7.146416E+05  -9.694921E+05   2.398775E+06
  8.400000E-01   7.276959E+05  -9.564378E+05   2.411830E+06
  8.600000E-01   7.402089E+05  -9.439248E+05   2.424343E+06
  8.800000E-01   7.528278E+05  -9.313059E+05   2.436962E+06
  9.000000E-01   7.649407E+05  -9.191930E+05   2.449074E+06
  9.200000E-01   7.754212E+05  -9.087125E+05   2.459555E+06
  9.400000E-01   7.853844E+05  -8.987494E+05   2.469518E+06
  9.600000E-01   7.955258E+05  -8.886079E+05   2.479660E+06
  9.800000E-01   8.052808E+05  -8.788529E+05   2.489414E+06
  1.000000E+00   8.144623E+05  -8.696714E+05   2.498596E+06
  1.020000E+00   8.225331E+05  -8.616006E+05   2.506667E+06
  1.040000E+00   8.309928E+05  -8.531409E+05   2.515127E+06
  1.060000E+00   8.385646E+05  -8.455691E+05   2.522698E+06
  1.080000E+00   8.449985E+05  -8.391352E+05   2.529132E+06
  1.100000E+00   8.525153E+05  -8.316184E+05   2.536649E+06
  1.120000E+00   8.593247E+05  -8.248090E+05   2.543458E+06
  1.140000E+00   8.653660E+05  -8.187678E+05   2.549500E+06
  1.160000E+00   8.709067E+05  -8.132270E+05   2.555040E+06
  1.180000E+00   8.759862E+05  -8.081476E+05   2.560120E+06
  1.200000E+00   8.816431E+05  -8.024906E+05   2.565777E+06
  1.220000E+00   8.864041E+05  -7.977296E+05   2.570538E+06
  1.240000E+00   8.903311E+05  -7.938026E+05   2.574465E+06
  1.260000E+00   8.945727E+05  -7.895610E+05   2.578706E+06
  1.280000E+00   8.989229E+05  -7.852109E+05   2.583057E+06
  1.300000E+00   9.030730E+05  -7.810607E+05   2.587207E+06
  1.320000E+00   9.062237E+05  -7.779100E+05   2.590357E+06
  1.340000E+00   9.092998E+05  -7.748339E+05   2.593434E+06
  1.360000E+00   9.125606E+05  -7.715731E+05   2.596694E+06
  1.380000E+00   9.157163E+05  -7.684174E+05   2.599850E+06
  1.400000E+00   9.185990E+05  -7.655348E+05   2.602733E+06
  1.420000E+00   9.203670E+05  -7.637667E+05   2.604501E+06
  1.440000E+00   9.227698E+05  -7.613639E+05   2.606904E+06
  1.460000E+00   9.254882E+05  -7.586455E+05   2.609622E+06
  1.480000E+00   9.264973E+05  -7.576364E+05   2.610631E+06
  1.500000E+00   9.290197E+05  -7.551141E+05   2.613153E+06
  1.520000E+00   9.312425E+05  -7.528913E+05   2.615376E+06
  1.540000E+00   9.323118E+05  -7.518220E+05   2.616445E+06
  1.560000E+00   9.336485E+05  -7.504852E+05   2.617782E+06
  1.580000E+00   9.359932E+05  -7.481405E+05   2.620127E+06
  1.600000E+00   9.364468E+05  -7.476869E+05   2.620580E+06
  1.620000E+00   9.379375E+05  -7.461963E+05   2.622071E+06
  1.640000E+00   9.397940E+05  -7.443397E+05   2.623928E+06
