TITLE = vY-vT
Variables = "x [m]", "y [m]","Residuals [K]"
ZONE, i= 24, j= 24, f=point, STRANDID=  1,SOLUTIONTIME=  2.000000E-02
  2.750000E-02   1.250000E-02  -1.002050E+07
  2.750000E-02   1.750000E-02  -1.001945E+07
  2.750000E-02   2.250000E-02  -1.001528E+07
  2.750000E-02   2.750000E-02  -1.002182E+07
  2.750000E-02   3.250000E-02  -1.002331E+07
  2.750000E-02   3.750000E-02  -1.001323E+07
  2.750000E-02   4.250000E-02   4.010210E+02
  2.750000E-02   4.750000E-02   3.042665E+03
  2.750000E-02   5.250000E-02  -1.511204E+02
  2.750000E-02   5.750000E-02  -1.201780E+03
  2.750000E-02   6.250000E-02   3.701253E+03
  2.750000E-02   6.750000E-02  -4.189199E+03
  2.750000E-02   7.250000E-02   8.557304E+02
  2.750000E-02   7.750000E-02   2.137937E+03
  2.750000E-02   8.250000E-02   4.541819E+02
  2.750000E-02   8.750000E-02   1.686370E+03
  2.750000E-02   9.250000E-02  -2.680803E+03
  2.750000E-02   9.750000E-02   5.736188E+02
  2.750000E-02   1.025000E-01  -2.996116E+03
  2.750000E-02   1.075000E-01   2.918885E+02
  2.750000E-02   1.125000E-01   1.446024E+03
  2.750000E-02   1.175000E-01  -9.024914E+01
  3.250000E-02   2.500000E-03   2.739679E+03
  3.250000E-02   7.500000E-03   5.253318E+03
  3.250000E-02   1.250000E-02   3.590416E+03
  3.250000E-02   1.750000E-02   2.871213E+03
  3.250000E-02   2.250000E-02  -2.174856E+03
  3.250000E-02   2.750000E-02  -1.395928E+02
  3.250000E-02   3.250000E-02  -3.024245E+02
  3.250000E-02   3.750000E-02  -5.060985E+02
  3.250000E-02   4.250000E-02   5.121597E+03
  3.250000E-02   4.750000E-02  -8.214209E+03
  3.250000E-02   5.250000E-02   2.378457E+03
  3.250000E-02   5.750000E-02   3.110509E+02
  3.250000E-02   6.250000E-02   2.412509E+03
  3.250000E-02   6.750000E-02  -1.440615E+03
  3.250000E-02   7.250000E-02   3.761240E+03
  3.250000E-02   7.750000E-02  -4.157447E+03
  3.250000E-02   8.250000E-02   2.410209E+03
  3.250000E-02   8.750000E-02  -8.894734E+02
  3.250000E-02   9.250000E-02   5.936964E+03
  3.250000E-02   9.750000E-02  -5.696455E+02
  3.250000E-02   1.025000E-01  -8.701521E+02
  3.250000E-02   1.075000E-01   4.120694E+03
  3.250000E-02   1.125000E-01  -2.299162E+03
  3.250000E-02   1.175000E-01   3.518036E+03
  3.750000E-02   2.500000E-03  -3.576810E+03
  3.750000E-02   7.500000E-03   9.171454E+02
  3.750000E-02   1.250000E-02  -1.693685E+03
  3.750000E-02   1.750000E-02  -6.564518E+03
  3.750000E-02   2.250000E-02   3.212439E+03
  3.750000E-02   2.750000E-02   2.792729E+03
  3.750000E-02   3.250000E-02   4.966327E+03
  3.750000E-02   3.750000E-02  -2.371384E+03
  3.750000E-02   4.250000E-02  -5.332314E+03
  3.750000E-02   4.750000E-02   3.827163E+03
  3.750000E-02   5.250000E-02   2.860305E+02
